Orthogroup	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523	Desulfocapsa_06_corrosive	Desulfocapsa_13_biocide	Desulforhopalus vacuolatus DSM 9700	Desulfosediminicola flagellatus IMCC35005	Desulfosediminicola ganghwensis IMCC35004	Desulfotalea psychrophila LSv54	Desulfovibrio ferrophilus IS5	Desulfovibrio vulgaris DP4	Geobacter sulfurreducens PCA	Shewanella oneidensis MR-1	Total
OG0000174	1	2	2	1	1	1	2	1	2	3	4	0	20
OG0000175	2	1	6	1	0	6	3	0	0	0	1	0	20
OG0000176	1	1	1	3	1	1	3	2	1	3	2	1	20
OG0000177	1	1	1	0	0	0	3	2	0	1	2	9	20
OG0000178	0	4	2	2	0	1	2	0	8	0	0	1	20
OG0000179	0	1	1	2	0	3	0	0	7	3	1	2	20
OG0000180	0	2	2	1	2	2	3	2	2	3	1	0	20
OG0000181	0	2	1	2	2	4	2	2	3	1	1	0	20
OG0000182	0	1	1	1	1	7	6	0	1	0	0	2	20
OG0000183	2	1	1	2	2	2	2	1	2	2	1	1	19
OG0000184	1	2	2	2	2	2	2	1	1	1	1	2	19
OG0000185	1	2	2	1	2	2	2	2	1	2	1	1	19
OG0000186	1	2	1	2	1	1	2	2	1	1	4	1	19
OG0000187	1	1	2	2	2	2	2	2	1	1	1	2	19
OG0000188	3	1	1	1	1	3	2	1	1	1	3	1	19
OG0000189	1	1	1	1	0	1	1	0	1	2	4	6	19
OG0000190	2	1	3	2	1	2	2	1	1	2	1	1	19
OG0000191	2	3	2	1	1	2	2	1	1	1	2	1	19
OG0000192	2	0	1	0	3	2	1	2	2	1	3	2	19
OG0000193	1	1	3	4	2	2	1	1	1	2	0	1	19
OG0000194	1	2	3	2	2	2	2	1	2	2	0	0	19
OG0000195	3	2	2	2	1	2	2	1	2	1	0	1	19
OG0000196	1	1	1	2	2	2	2	1	2	2	2	1	19
OG0000197	1	2	2	1	1	4	3	2	0	0	1	2	19
OG0000198	2	2	2	2	3	2	2	2	0	0	1	1	19
OG0000199	1	2	2	2	2	2	3	1	1	1	2	0	19
OG0000200	1	2	2	1	0	1	1	0	3	3	1	4	19
OG0000201	0	1	1	1	1	1	1	1	3	3	2	4	19
OG0000202	0	2	3	2	2	2	1	1	2	1	3	0	19
OG0000203	0	2	3	3	0	2	2	2	2	2	0	1	19
OG0000204	0	2	2	2	2	2	1	0	3	5	0	0	19
OG0000205	0	1	1	1	0	2	2	1	4	5	1	1	19
OG0000206	0	0	2	2	0	5	5	1	3	1	0	0	19
OG0000207	0	0	1	1	3	4	2	2	2	2	1	1	19
OG0000208	0	0	1	1	3	4	2	2	2	2	1	1	19
OG0000209	3	1	1	1	1	2	1	1	2	2	2	1	18
OG0000210	2	1	1	1	2	2	2	2	1	2	1	1	18
OG0000211	1	1	1	1	2	1	1	1	3	3	1	2	18
OG0000212	1	1	1	3	2	1	2	1	1	2	2	1	18
OG0000213	4	2	1	0	1	2	1	0	1	2	2	2	18
OG0000214	2	1	1	1	3	2	0	2	0	2	3	1	18
OG0000215	2	2	2	2	1	2	2	1	1	1	1	1	18
OG0000216	2	2	1	1	1	2	2	1	2	2	1	1	18
OG0000217	1	1	2	1	1	2	2	1	2	3	1	1	18
OG0000218	1	3	3	3	1	1	1	1	1	1	1	1	18
OG0000219	2	1	2	3	1	2	2	1	1	1	1	1	18
OG0000220	1	0	1	1	1	4	3	0	3	2	1	1	18
OG0000221	2	1	1	1	3	2	1	1	1	1	2	2	18
OG0000222	1	1	1	1	1	3	2	2	2	2	1	1	18
OG0000223	2	2	2	2	1	2	2	1	1	1	1	1	18
OG0000224	1	1	1	2	1	3	4	0	1	0	2	2	18
OG0000225	2	3	2	2	1	1	2	1	1	1	1	1	18
OG0000226	2	1	1	1	1	1	1	1	1	2	2	4	18
OG0000227	1	1	1	1	2	2	2	2	2	2	1	1	18
OG0000228	2	1	1	1	2	1	1	1	2	2	2	2	18
OG0000229	4	3	1	1	1	1	2	1	1	1	2	0	18
OG0000230	1	1	1	2	1	3	3	1	1	1	1	2	18
OG0000231	1	0	1	0	7	2	7	0	0	0	0	0	18
OG0000232	1	2	2	3	1	1	1	1	2	2	0	2	18
OG0000233	1	2	2	2	1	2	2	1	1	1	2	1	18
OG0000234	1	1	1	1	1	2	2	1	3	2	2	1	18
OG0000235	0	2	2	2	1	1	2	2	2	2	1	1	18
OG0000236	0	3	1	1	0	2	2	0	3	0	4	2	18
OG0000237	0	2	2	2	2	2	2	2	2	2	0	0	18
OG0000238	0	2	2	3	2	3	2	1	2	0	0	1	18
OG0000239	0	1	2	2	2	3	2	2	1	1	1	1	18
OG0000240	0	1	2	2	0	2	1	1	3	5	1	0	18
OG0000241	0	2	2	2	0	4	4	1	1	0	2	0	18
OG0000242	0	3	3	3	0	3	0	0	1	1	3	1	18
OG0000243	0	1	4	2	1	3	1	1	1	1	2	1	18
OG0000244	0	1	4	1	0	3	3	1	3	1	0	1	18
OG0000245	0	3	1	3	5	1	2	1	0	0	1	1	18
OG0000246	0	0	3	4	0	3	3	1	1	0	3	0	18
OG0000247	0	0	0	0	0	0	1	0	0	0	0	17	18
OG0000248	2	1	1	1	2	2	2	1	1	1	1	2	17
OG0000249	4	0	1	0	0	2	2	1	1	0	2	4	17
OG0000250	1	1	1	1	0	2	1	2	3	2	1	2	17
OG0000251	1	0	0	0	0	0	1	0	0	0	0	15	17
OG0000252	1	1	1	2	2	2	2	1	1	1	2	1	17
OG0000253	2	1	1	1	1	1	1	1	2	2	2	2	17
OG0000254	1	0	0	1	0	4	2	1	2	2	3	1	17
OG0000255	3	0	1	2	0	2	3	0	1	0	2	3	17
OG0000256	2	1	1	1	2	2	1	1	0	2	2	2	17
